Video_ID,Factor,Metrics,Threshold,Causal_Link,Outcome
1,VWAP作為動態支撐（Long Bias）,VWAP偏離%,價格回踩VWAP後收盤站穩 = 強力做多信號；跌破VWAP+放量 = 止損出場,價格>VWAP → 多頭結構完整 → 動能持續 → 繼續持倉；跌破VWAP+大量 → 趨勢反轉,↑HIGH WIN: VWAP站穩再入場; 勝率約65-70%
1,VWAP vs 簡單移動均線的優越性,偏離VWAP基點數,VWAP已計入成交量加權，比SMA/EMA更能代表真實市場均價；差異>5%=異常偏離,高量交易 → VWAP反映真實機構成本 → 均值回歸壓力 → 突破VWAP有意義,↑HIGH WIN: VWAP突破比MA突破更可靠
552,VWAP觸底+突破halts=第一波入場,halt次數，VWAP距離%,股票下跌測試VWAP → 守住VWAP → 再次向上halt = 強力做多信號,跌至VWAP → 守住 → 爆發突破 → halt up → 入場買 resumption,↑HIGH WIN: VWAP守住後第一個halt resumption成功率高
24,Float低 = 供需失衡 = 拋物線動能,Float股數（百萬股）,Float<5M = 極低供應; Float 5-10M = 低供應; >50M = 厚Float避免,低Float + 高需求 → 供需嚴重失衡 → 買盤吸收快 → 價格拋物線上漲,↑VERY HIGH WIN: Float<5M+高需求=動能最強
24,Float<1M = 極端波動機會,Float股數,Float<1M (sub-million float) = 最高優先; 一旦有消息可暴漲500-2000%,極低Float → 任何買盤都推高價格 → 空頭難以建倉 → 拋物線式擠壓,↑EXTREME WIN: Float<1M是最佳獵場
24,大Float股票 (>100M) 動能弱,Float股數vs日均量,Bank of America等大Float股票: 即使漲幅好看但無法快速拉升,大Float → 需要大量買盤才能推動 → 機構為主 → 不適合短線動能策略,⚠️AVOID: >50M Float不做動能策略
11,五大選股標準完整框架,5項篩選條件評分,全達標(5/5): 股價$2-10 + Float<10M + 漲幅前3 + 相對量>5x + 有消息,5項全符合 → 最高確信度 → 加大倉位; 4/5 → 正常; 3/5以下 → 不入場,↑VERY HIGH WIN: 5/5達標時勝率最高（>70%）
11,Biotech/Pharma行業偏好,行業分類,生技/製藥+FDA消息 = 最高優先; 私募配售(PP) = 第二優先,FDA消息 → 散戶情緒最強 → 低Float爆發 → 最大漲幅,↑HIGH WIN: FDA+低Float是最強組合
2,Gap & Go核心策略,缺口幅度%，開盤成交量,隔夜缺口>4% + 有消息 + 開盤量>平均5x = Gap & Go觸發條件,缺口+高量+消息 → 動能集中 → 開盤前15分鐘最強 → 快速入出,↑HIGH WIN: 9:30-9:45窗口最佳，勝率約65%
2,Day 2 Play 延續策略,前日收盤位置，今日缺口%,前日+30%強勢收盤 + 今日正缺口 + 新消息 = Day 2 做多機會,前日強勢 → 市場記憶 → 今日開盤有追單 → 若突破前日高 → 繼續上漲,↑MEDIUM WIN: 需確認消息持續性，勝率約55%
2,下午突破 (Afternoon Breakout),午後整合時間，量能,早盤強勢股 + 午後縮量整合 + 突破早盤高點+放量 = 第二波機會,早盤強 → 午後整合 → 突破早高+量 → 第二波拉升,↑MEDIUM WIN: 勝率低於早盤（約50%），需嚴格確認
13,Bull Flag第一次回踩入場,回踩幅度%，成交量比,首次突破+激增量 → 縮量回踩(量<突破量50%) → 守住前低 → 入場,突破激增量 → 縮量回踩（確認賣壓弱）→ 二次突破放量 → 延續上漲,↑HIGH WIN: 第一次回踩勝率最高（約65%），幅度目標=前波相同
13,Bull Flag第二次回踩入場,第二次整合位置,第二次回踩勝率<第一次; 需要更大量能確認; 相對量需>3x,第一突破→第一回踩→第二突破→第二回踩→第三突破（每次勝率遞減）,↑MEDIUM WIN: 第二次回踩勝率約50-55%
1013,Mini Pullback買入的精確識別,K線形態+成交量Profile,真正Mini Pullback: 量縮 + 有下影線 + 均線上方 + MACD仍正 + 回踩<前波20%,強勢上漲 → 量縮回踩(賣壓弱) → 下影線出現(買盤支撐) → 量放突破 → 繼續上漲,↑HIGH WIN: 全條件達標勝率70%+; 安全目標=前波50-100%
1013,Dump識別避免接刀,大量+K線上影線,大量長上影線 + MACD轉負 + 回踩>前波30% = Dump而非Pullback,放量出現長上影(賣壓強) → MACD轉負 → 繼續下跌,⚠️AVOID: MACD負+大量長上影=不做多
13,高日掃描器觸發+Float確認,Float+掃描器出現,出現High Day Scanner + Float<5M = 立即加入觀察; Float>10M = 降優先級,掃描器捕捉 → 確認Float+消息 → 評估入場位置 → 執行計劃,↑HIGH WIN: 低Float+掃描確認組合
25,Hard-to-Borrow (HTB) 空頭擠壓,借券費率%，做空比率%,HTB + Float<5M + 做空比>20% = 空頭擠壓高風險環境; 上漲會加速,HTB + 低Float → 空頭難以建倉 → 一旦上漲 → 回補恐慌 → 加速拉升,↑VERY HIGH WIN: HTB+低Float是最強擠壓條件
1007,Easy-to-Borrow (ETB) 二波策略,借券狀態，halt次數,ETB股票首波被壓制屬正常; 等第二波突破再入場; 因空頭第一波被套,ETB上漲 → 空頭湧入(免費做空) → 第一波被壓 → 空頭被套 → 第二波更猛,↑MEDIUM WIN: ETB等第二波確認勝率60%
1380,Sub-1M Float+高做空比 = 超級擠壓,Float(百萬股)，做空比%,Float<1M + 做空比>30% = 超級擠壓條件; SMX案例: $5→$500,極低Float + 高做空比 → 上漲後空頭恐慌 → 被迫回補 → 指數級加速拉升,↑EXTREME WIN: 罕見但報酬極高; 目標=10-100x
1380,Reverse Split降低Float效應,Reverse Split比例，Float變化,Reverse Split後Float按比例縮小; 1:10 split = Float也縮小10倍 = 更易擠壓,Reverse Split → Float縮小 → 供應減少 → 若有消息 → 擠壓更激烈,↑HIGH WIN: Reverse Split後低Float+消息=擠壓機會
261,T1 Halt News Release 恢復交易,Halt代碼，恢復價格差異,T1 Halt = 消息待發布; 恢復價格反映消息質量; 好消息=恢復價更高,T1 Halt → 訂單積累 → 恢復時供需重新平衡 → 好消息=向上gap開,↑HIGH WIN: T1 Halt恢復後方向明確時追多
261,Circuit Breaker Halt (LULD) 交易機會,Halt後恢復偏差%,LULD Halt after big squeeze = 暫停後恢復方向通常延續原方向,大漲觸發LULD → Halt暫停 → 恢復交易 → 通常延續方向 → 第一個下破前低止損,↑MEDIUM WIN: Halt up resumption勝率約60-65%
1303,MACD Green Light/Red Light系統,MACD方向(正/負),MACD>0 = Green Light可以做多; MACD<0 = Red Light不做多; 無例外,MACD正(快線>慢線) → 短期動能向上 → 可以追; MACD負 → 動能不足 → 觀望,↑HIGH WIN: MACD正+其他條件達標勝率提升約10-15%
1303,MACD Bull Trap避免,MACD負時的假突破,價格突破+MACD負 = Bull Trap; 即使看起來突破也不入場,假突破 → MACD仍負 → 買入 → 很快逆轉 → 虧損,⚠️AVOID: MACD負時任何突破入場
273,均線系統排列(SMA vs EMA),均線排列順序,5MA>20MA>50MA>200MA = 強多頭排列; 任何交叉逆序 = 趨勢轉換信號,均線多頭排列 → 機構確認趨勢 → 更多買盤入場 → 趨勢自我強化,↑HIGH WIN: 均線多頭排列做多成功率高
273,EMA比SMA更敏感,EMA vs SMA 反應速度,EMA比SMA反應快約20%; 日內交易用EMA; 中長期用SMA,EMA更快反映近期價格 → 給出更早信號 → 但也有更多假信號,技術工具選擇: 日內用9/20 EMA; 趨勢判斷用50/200 SMA
3,Level 2關鍵賣壓識別,Ask堆疊大小(股數),Ask側有大量單疊加在特定價位 = 重要阻力; 突破時需大成交量吃掉,Level2顯示大賣壓 → 買盤逐漸吸收 → 最後突破 → 快速拉升到下一阻力,↑HIGH WIN: 突破大Level2賣壓時追多
3,Ascending Wedge突破,Wedge形態+Level2,上升楔形+Level2買壓堆積在關鍵位 = 即將突破信號,楔形整理 → Level2顯示買盤等待 → 突破關鍵位 → 快速拉升,↑HIGH WIN: 楔形突破+Level2確認
